country,indicator,series_name,year,value,dataflow,publication_date
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1977,120.2914599,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1978,116.1112306,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1979,116.3658514,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1980,119.6266512,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1981,125.7544049,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1982,131.6224821,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1983,137.6793753,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1984,139.6449166,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1985,140.9412246,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1986,145.0613485,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1987,153.5365696,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1988,152.2999168,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1989,151.7785127,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1990,157.4293773,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1991,159.7937262,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1992,160.592686,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1993,165.3995873,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,CAPSTCK_PS_Q_POGDP_PT,"Capital stock, Private sector, Constant prices, Percent of GDP",1994,164.5597834,IMF.FAD:ICSD(1.0.0),2025-07-01
